File,MOS,STD,height,width,DisplayHeight,DisplayWidth,framerate,Bitrate,Content,resolution,DMOS
a91_1_832x360_30_250kbps_.mp4,41.508,2.486,360,832,952,2204,30,250kbps,a91_1,360p,63.382
a91_1_1108x480_30_250kbps_.mp4,39.661,2.486,480,1108,954,2204,30,250kbps,a91_1,480p,61.535
a91_1_1248x540_30_250kbps_.mp4,34.784,2.486,540,1248,952,2204,30,250kbps,a91_1,540p,56.658
a91_1_1664x720_30_250kbps_.mp4,29.104,2.486,720,1664,952,2204,30,250kbps,a91_1,720p,50.978
a91_1_832x360_30_2mbps_.mp4,66.033,2.486,360,832,952,2204,30,2mbps,a91_1,360p,87.907
a91_1_1108x480_30_2mbps_.mp4,74.789,2.486,480,1108,954,2204,30,2mbps,a91_1,480p,96.663
a91_1_1248x540_30_2mbps_.mp4,75.087,2.486,540,1248,952,2204,30,2mbps,a91_1,540p,96.961
a91_1_1664x720_30_2mbps_.mp4,75.3,2.486,720,1664,952,2204,30,2mbps,a91_1,720p,97.174
a91_1_832x360_30_500kbps_.mp4,58.287,2.486,360,832,952,2204,30,500kbps,a91_1,360p,80.161
a91_1_1108x480_30_500kbps_.mp4,58.596,2.486,480,1108,954,2204,30,500kbps,a91_1,480p,80.47
a91_1_1248x540_30_500kbps_.mp4,57.169,2.486,540,1248,952,2204,30,500kbps,a91_1,540p,79.043
a91_1_1664x720_30_500kbps_.mp4,46.842,2.486,720,1664,952,2204,30,500kbps,a91_1,720p,68.716
a91_1_832x360_30_800kbps_.mp4,63.251,2.486,360,832,952,2204,30,800kbps,a91_1,360p,85.125
a91_1_1108x480_30_800kbps_.mp4,68.241,2.486,480,1108,954,2204,30,800kbps,a91_1,480p,90.115
a91_1_1248x540_30_800kbps_.mp4,65.771,2.486,540,1248,952,2204,30,800kbps,a91_1,540p,87.645
a91_1_1664x720_30_800kbps_.mp4,65.853,2.486,720,1664,952,2204,30,800kbps,a91_1,720p,87.727
a91_1_832x360_30_pristine_.mp4,69.169,2.486,360,832,952,2204,30,pristine,a91_1,360p,91.043
a91_1_1108x480_30_pristine_.mp4,73.903,2.486,480,1108,954,2204,30,pristine,a91_1,480p,95.777
a91_1_1248x540_30_pristine_.mp4,77.01,2.486,540,1248,952,2204,30,pristine,a91_1,540p,98.884
a91_1_1664x720_30_pristine_.mp4,78.126,2.486,720,1664,952,2204,30,pristine,a91_1,720p,100.0
a91_2_832x360_30_250kbps_.mp4,10.197,2.373,360,832,952,2204,30,250kbps,a91_2,360p,21.938
a91_2_1108x480_30_250kbps_.mp4,17.478,2.373,480,1108,954,2204,30,250kbps,a91_2,480p,29.219
a91_2_1248x540_30_250kbps_.mp4,22.958,2.373,540,1248,952,2204,30,250kbps,a91_2,540p,34.699
a91_2_1664x720_30_250kbps_.mp4,27.346,2.373,720,1664,952,2204,30,250kbps,a91_2,720p,39.087
a91_2_832x360_30_2mbps_.mp4,64.372,2.373,360,832,952,2204,30,2mbps,a91_2,360p,76.113
a91_2_1108x480_30_2mbps_.mp4,67.319,2.373,480,1108,954,2204,30,2mbps,a91_2,480p,79.06
a91_2_1248x540_30_2mbps_.mp4,59.401,2.373,540,1248,952,2204,30,2mbps,a91_2,540p,71.142
a91_2_1664x720_30_2mbps_.mp4,54.658,2.373,720,1664,952,2204,30,2mbps,a91_2,720p,66.399
a91_2_832x360_30_500kbps_.mp4,21.954,2.373,360,832,952,2204,30,500kbps,a91_2,360p,33.695
a91_2_1108x480_30_500kbps_.mp4,17.701,2.373,480,1108,954,2204,30,500kbps,a91_2,480p,29.442
a91_2_1248x540_30_500kbps_.mp4,22.73,2.373,540,1248,952,2204,30,500kbps,a91_2,540p,34.471
a91_2_1664x720_30_500kbps_.mp4,26.323,2.373,720,1664,952,2204,30,500kbps,a91_2,720p,38.064
a91_2_832x360_30_800kbps_.mp4,37.952,2.373,360,832,952,2204,30,800kbps,a91_2,360p,49.693
a91_2_1108x480_30_800kbps_.mp4,32.038,2.373,480,1108,954,2204,30,800kbps,a91_2,480p,43.779
a91_2_1248x540_30_800kbps_.mp4,28.693,2.373,540,1248,952,2204,30,800kbps,a91_2,540p,40.434
a91_2_1664x720_30_800kbps_.mp4,28.436,2.373,720,1664,952,2204,30,800kbps,a91_2,720p,40.177
a91_2_832x360_30_pristine_.mp4,77.541,2.373,360,832,952,2204,30,pristine,a91_2,360p,89.282
a91_2_1108x480_30_pristine_.mp4,82.327,2.373,480,1108,954,2204,30,pristine,a91_2,480p,94.068
a91_2_1248x540_30_pristine_.mp4,85.474,2.373,540,1248,952,2204,30,pristine,a91_2,540p,97.215
a91_2_1664x720_30_pristine_.mp4,88.259,2.373,720,1664,952,2204,30,pristine,a91_2,720p,100.0
bejewelled_1_360x640_30_250kbps_.mp4,46.838,2.333,640,360,1920,1080,30,250kbps,bejewelled_1,360p,65.54
bejewelled_1_480x852_30_250kbps_.mp4,53.43,2.333,852,480,1916,1080,30,250kbps,bejewelled_1,480p,72.132
bejewelled_1_540x960_30_250kbps_.mp4,50.278,2.333,960,540,1920,1080,30,250kbps,bejewelled_1,540p,68.98
bejewelled_1_720x1280_30_250kbps_.mp4,47.026,2.333,1280,720,1920,1080,30,250kbps,bejewelled_1,720p,65.728
bejewelled_1_360x640_30_2mbps_.mp4,56.834,2.333,640,360,1920,1080,30,2mbps,bejewelled_1,360p,75.536
bejewelled_1_480x852_30_2mbps_.mp4,69.934,2.333,852,480,1916,1080,30,2mbps,bejewelled_1,480p,88.636
bejewelled_1_540x960_30_2mbps_.mp4,71.495,2.333,960,540,1920,1080,30,2mbps,bejewelled_1,540p,90.197
bejewelled_1_720x1280_30_2mbps_.mp4,77.156,2.333,1280,720,1920,1080,30,2mbps,bejewelled_1,720p,95.858
bejewelled_1_360x640_30_500kbps_.mp4,54.521,2.333,640,360,1920,1080,30,500kbps,bejewelled_1,360p,73.223
bejewelled_1_480x852_30_500kbps_.mp4,58.925,2.333,852,480,1916,1080,30,500kbps,bejewelled_1,480p,77.627
bejewelled_1_540x960_30_500kbps_.mp4,65.02,2.333,960,540,1920,1080,30,500kbps,bejewelled_1,540p,83.722
bejewelled_1_720x1280_30_500kbps_.mp4,61.307,2.333,1280,720,1920,1080,30,500kbps,bejewelled_1,720p,80.009
bejewelled_1_360x640_30_800kbps_.mp4,53.396,2.333,640,360,1920,1080,30,800kbps,bejewelled_1,360p,72.098
bejewelled_1_480x852_30_800kbps_.mp4,62.513,2.333,852,480,1916,1080,30,800kbps,bejewelled_1,480p,81.215
bejewelled_1_540x960_30_800kbps_.mp4,64.272,2.333,960,540,1920,1080,30,800kbps,bejewelled_1,540p,82.974
bejewelled_1_720x1280_30_800kbps_.mp4,67.817,2.333,1280,720,1920,1080,30,800kbps,bejewelled_1,720p,86.519
bejewelled_1_360x640_30_pristine_.mp4,60.534,2.333,640,360,1920,1080,30,pristine,bejewelled_1,360p,79.236
bejewelled_1_480x852_30_pristine_.mp4,69.941,2.333,852,480,1916,1080,30,pristine,bejewelled_1,480p,88.643
bejewelled_1_540x960_30_pristine_.mp4,73.161,2.333,960,540,1920,1080,30,pristine,bejewelled_1,540p,91.863
bejewelled_1_720x1280_30_pristine_.mp4,81.298,2.333,1280,720,1920,1080,30,pristine,bejewelled_1,720p,100.0
Bowlingclub_1_360x720_30_250kbps_.mp4,36.022,2.322,720,360,2160,1080,30,250kbps,Bowlingclub_1,360p,57.899
Bowlingclub_1_480x960_30_250kbps_.mp4,27.808,2.322,960,480,2160,1080,30,250kbps,Bowlingclub_1,480p,49.685
Bowlingclub_1_540x1080_30_250kbps_.mp4,28.019,2.322,1080,540,2160,1080,30,250kbps,Bowlingclub_1,540p,49.896
Bowlingclub_1_720x1440_30_250kbps_.mp4,29.018,2.322,1440,720,2160,1080,30,250kbps,Bowlingclub_1,720p,50.895
Bowlingclub_1_360x720_30_2mbps_.mp4,66.288,2.322,720,360,2160,1080,30,2mbps,Bowlingclub_1,360p,88.165
Bowlingclub_1_480x960_30_2mbps_.mp4,68.105,2.322,960,480,2160,1080,30,2mbps,Bowlingclub_1,480p,89.982
Bowlingclub_1_540x1080_30_2mbps_.mp4,75.026,2.322,1080,540,2160,1080,30,2mbps,Bowlingclub_1,540p,96.903
Bowlingclub_1_720x1440_30_2mbps_.mp4,78.194,2.322,1440,720,2160,1080,30,2mbps,Bowlingclub_1,720p,100.071
Bowlingclub_1_360x720_30_500kbps_.mp4,47.18,2.322,720,360,2160,1080,30,500kbps,Bowlingclub_1,360p,69.057
Bowlingclub_1_480x960_30_500kbps_.mp4,44.046,2.322,960,480,2160,1080,30,500kbps,Bowlingclub_1,480p,65.923
Bowlingclub_1_540x1080_30_500kbps_.mp4,40.757,2.322,1080,540,2160,1080,30,500kbps,Bowlingclub_1,540p,62.634
Bowlingclub_1_720x1440_30_500kbps_.mp4,42.548,2.322,1440,720,2160,1080,30,500kbps,Bowlingclub_1,720p,64.425
Bowlingclub_1_360x720_30_800kbps_.mp4,53.3,2.322,720,360,2160,1080,30,800kbps,Bowlingclub_1,360p,75.177
Bowlingclub_1_480x960_30_800kbps_.mp4,60.397,2.322,960,480,2160,1080,30,800kbps,Bowlingclub_1,480p,82.274
Bowlingclub_1_540x1080_30_800kbps_.mp4,62.283,2.322,1080,540,2160,1080,30,800kbps,Bowlingclub_1,540p,84.16
Bowlingclub_1_720x1440_30_800kbps_.mp4,54.708,2.322,1440,720,2160,1080,30,800kbps,Bowlingclub_1,720p,76.585
Bowlingclub_1_360x720_30_pristine_.mp4,62.095,2.322,720,360,2160,1080,30,pristine,Bowlingclub_1,360p,83.972
Bowlingclub_1_480x960_30_pristine_.mp4,74.441,2.322,960,480,2160,1080,30,pristine,Bowlingclub_1,480p,96.318
Bowlingclub_1_540x1080_30_pristine_.mp4,72.432,2.322,1080,540,2160,1080,30,pristine,Bowlingclub_1,540p,94.309
Bowlingclub_1_720x1440_30_pristine_.mp4,78.123,2.322,1440,720,2160,1080,30,pristine,Bowlingclub_1,720p,100.0
Bowlingclub_2_360x720_30_250kbps_.mp4,29.546,2.667,720,360,2160,1080,30,250kbps,Bowlingclub_2,360p,48.483
Bowlingclub_2_480x960_30_250kbps_.mp4,24.566,2.667,960,480,2160,1080,30,250kbps,Bowlingclub_2,480p,43.503
Bowlingclub_2_540x1080_30_250kbps_.mp4,21.586,2.667,1080,540,2160,1080,30,250kbps,Bowlingclub_2,540p,40.523
Bowlingclub_2_720x1440_30_250kbps_.mp4,21.759,2.667,1440,720,2160,1080,30,250kbps,Bowlingclub_2,720p,40.696
Bowlingclub_2_360x720_30_2mbps_.mp4,59.241,2.667,720,360,2160,1080,30,2mbps,Bowlingclub_2,360p,78.178
Bowlingclub_2_480x960_30_2mbps_.mp4,72.261,2.667,960,480,2160,1080,30,2mbps,Bowlingclub_2,480p,91.198
Bowlingclub_2_540x1080_30_2mbps_.mp4,73.547,2.667,1080,540,2160,1080,30,2mbps,Bowlingclub_2,540p,92.484
Bowlingclub_2_720x1440_30_2mbps_.mp4,81.681,2.667,1440,720,2160,1080,30,2mbps,Bowlingclub_2,720p,100.618
Bowlingclub_2_360x720_30_500kbps_.mp4,47.028,2.667,720,360,2160,1080,30,500kbps,Bowlingclub_2,360p,65.965
Bowlingclub_2_480x960_30_500kbps_.mp4,45.772,2.667,960,480,2160,1080,30,500kbps,Bowlingclub_2,480p,64.709
Bowlingclub_2_540x1080_30_500kbps_.mp4,44.128,2.667,1080,540,2160,1080,30,500kbps,Bowlingclub_2,540p,63.065
Bowlingclub_2_720x1440_30_500kbps_.mp4,40.36,2.667,1440,720,2160,1080,30,500kbps,Bowlingclub_2,720p,59.297
Bowlingclub_2_360x720_30_800kbps_.mp4,63.157,2.667,720,360,2160,1080,30,800kbps,Bowlingclub_2,360p,82.094
Bowlingclub_2_480x960_30_800kbps_.mp4,62.837,2.667,960,480,2160,1080,30,800kbps,Bowlingclub_2,480p,81.774
Bowlingclub_2_540x1080_30_800kbps_.mp4,61.919,2.667,1080,540,2160,1080,30,800kbps,Bowlingclub_2,540p,80.856
Bowlingclub_2_720x1440_30_800kbps_.mp4,57.186,2.667,1440,720,2160,1080,30,800kbps,Bowlingclub_2,720p,76.123
Bowlingclub_2_360x720_30_pristine_.mp4,64.273,2.667,720,360,2160,1080,30,pristine,Bowlingclub_2,360p,83.21
Bowlingclub_2_480x960_30_pristine_.mp4,76.356,2.667,960,480,2160,1080,30,pristine,Bowlingclub_2,480p,95.293
Bowlingclub_2_540x1080_30_pristine_.mp4,78.987,2.667,1080,540,2160,1080,30,pristine,Bowlingclub_2,540p,97.924
